,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13
0,POINT (72.8758393972653 19.06840847529168),POINT (-73.99571754361698 40.72156174972766),POINT (90.4066336 23.7250056),POINT (77.2280582 28.6719388),POINT (72.8758393972653 19.06840847529168),POINT (77.2280582 28.6719388),POINT (77.2280582 28.6719388)
1,POINT (77.2280582 28.6719388),POINT (-118.23198647223317 34.049219260337075),POINT (88.36912550443886 22.569578883795778),POINT (74.3480789 31.5619174),POINT (66.9880631 24.8719381),POINT (74.3480789 31.5619174),POINT (72.8758393972653 19.06840847529168)
2,POINT (74.3480789 31.5619174),POINT (72.8758393972653 19.06840847529168),POINT (77.2280582 28.6719388),POINT (66.9880631 24.8719381),POINT (74.3480789 31.5619174),POINT (66.9880631 24.8719381),POINT (66.9880631 24.8719381)
3,POINT (88.36912550443886 22.569578883795778),POINT (77.2280582 28.6719388),POINT (74.3480789 31.5619174),POINT (72.8758393972653 19.06840847529168),POINT (77.2280582 28.6719388),POINT (72.8758393972653 19.06840847529168),POINT (90.4066336 23.7250056)
4,POINT (90.4066336 23.7250056),POINT (74.3480789 31.5619174),POINT (66.9880631 24.8719381),POINT (88.36912550443886 22.569578883795778),POINT (114.2680712 30.5819772),POINT (126.9977851 37.568295),POINT (135.50375419006232 34.691095244477914)
5,POINT (114.2680712 30.5819772),POINT (88.36912550443886 22.569578883795778),POINT (72.8758393972653 19.06840847529168),POINT (90.4066336 23.7250056),POINT (121.4345588 31.2183983),POINT (135.50375419006232 34.691095244477914),POINT (-58.43251268766426 -34.61071459139255)
6,POINT (126.9977851 37.568295),POINT (90.4066336 23.7250056),POINT (-73.99571754361698 40.72156174972766),POINT (114.2680712 30.5819772),POINT (135.50375419006232 34.691095244477914),POINT (-43.212117466834385 -22.907308056882364),POINT (-73.99571754361698 40.72156174972766)
7,POINT (28.97427681675554 41.01760173507249),POINT (126.9977851 37.568295),POINT (-118.23198647223317 34.049219260337075),POINT (51.4223982 35.6738886),POINT (-43.212117466834385 -22.907308056882364),POINT (-73.99571754361698 40.72156174972766),POINT (-118.23198647223317 34.049219260337075)
